,dist_km,n,valid,std,band_std,band_r
T02A,128.73851013183594,2257.0,0.7626043788917903,0.07501550184747503,0.02571936263496458,-0.5037369383741114
T02B,134.75100708007812,2287.0,0.7713277281988006,0.1297253653084638,0.05902414309386541,-0.4705394648096712
T02C,137.820556640625,2242.0,0.758328789922236,0.14491028320968471,0.11089389324919338,-0.10455668233709844
T01A,204.22645568847656,2523.0,0.8598525065281644,0.13679530454128347,0.04971427736847588,-0.10570739550546299
T01B,212.873046875,2447.0,0.8266808229791386,0.09523235627725445,0.034975733147023624,-0.21014482455533393
T01C,217.24473571777344,2444.0,0.8254182329478608,0.2667253632246586,0.08580426373978645,-0.3526332322301262
T01D,221.4894561767578,2384.0,0.807713277281988,0.15628053093552205,0.051428420400062014,-0.3477773181092303
