station,array,dist_km,r_broad,r_band,band_p,phase_deg,n
T01A,T01,204.22645568847656,-0.09793736156571767,-0.02351911596519909,0.852,94.269532885426,2474
T01B,T01,212.873046875,-0.13507799298476428,-0.399790084329695,0.119,-152.36089625828822,2415
T01C,T01,217.24473571777344,-0.15245354631613164,-0.36883434203882864,0.02,-139.73616456980304,2408
T01D,T01,221.4894561767578,-0.1615648943285065,-0.3169074662526489,0.114,-150.2580266817156,2348
T02A,T02,128.73851013183594,-0.3034752963831513,-0.6135734316736581,0.003,-138.89101040969692,2242
T02B,T02,134.75100708007812,-0.2922925596565071,-0.5368838712472179,0.004,-135.05424080925877,2268
T02C,T02,137.820556640625,-0.18745460677423245,-0.43704930047521034,0.018,-123.89714775359248,2234
