across_km,n_events,strain_median,strain_q25,strain_q75,speed_median
-7.875,0,0.001910944402106317,0.0017392174272631625,0.002010030807949358,55.99323930029856
-7.625,0,0.0019683867139807763,0.0017893371302760423,0.0020647121119594485,55.06374471792681
-7.375,0,0.0020128826180124118,0.0018373736704907267,0.002113455178963663,54.11844582815543
-7.125,0,0.0020728844180321992,0.0019000191522760643,0.0021610127999422066,53.1572402599442
-6.875,0,0.0021226952564654274,0.0019480474746065568,0.002210309180505021,52.16030290338668
-6.625,0,0.002166515874475573,0.0020087135118069923,0.0022557358814114317,51.15487801951305
-6.375,0,0.002226111260669044,0.0020654671800030954,0.002302114052280761,50.11550928399538
-6.125,0,0.0022715820194060053,0.002121936564285741,0.0023451737961087465,49.080923108265324
-5.875,7,0.0023225640134944135,0.002182140992177323,0.0023844228704747485,47.98539367033618
-5.625,80,0.002367176959281163,0.0022364283667055734,0.0024254529896403395,46.886680873782325
-5.375,21,0.0024114523156212233,0.002290762260384079,0.0024626867101010274,45.75101212080795
-5.125,19,0.002449074410918987,0.0023469283648859707,0.0025089938436738558,44.61941250217096
-4.875,13,0.0024840764473586475,0.002393212041415103,0.0025597486305234682,43.45076637853643
-4.625,11,0.0025127935181228586,0.0024495061951891194,0.0026003795583138625,42.288490702975146
-4.375,243,0.0025384198097759573,0.0024901149328815063,0.0026423666982736405,41.08497637793599
-4.125,1499,0.0025602779412591745,0.0025266865985463065,0.0026771500686026423,39.88692378162563
-3.875,108,0.002578217760395744,0.0025564512890035966,0.002704717003826474,38.67210936297599
-3.625,44,0.0026051245166721776,0.002579656219936795,0.002713899324987959,37.429504259250294
-3.375,55,0.0026437392544549345,0.002596423879419824,0.002720247716303262,36.18234104314528
-3.125,103,0.002674624956105627,0.002610937781392819,0.002727607080614137,34.92721678827079
-2.875,198,0.0026776715280392976,0.002620749492663439,0.002730466143730372,33.68223248894452
-2.625,362,0.0026762056886382593,0.0026253194593037466,0.002732537699169119,32.407449115506736
-2.375,451,0.0026702323401617033,0.002612450236633009,0.0027309771334060946,31.126440583507748
-2.125,14,0.0026586895870017034,0.0025900251868783194,0.002719694033347416,29.89436859098678
-1.875,28,0.002637429282020947,0.00255918294654521,0.0027083346836529916,28.65885635086307
-1.625,48,0.0026121414027877672,0.002521008323783906,0.0026871474530701885,27.391603873248926
-1.375,9,0.002580411874816334,0.0024793858783719626,0.002660060499582455,26.18370631401374
-1.125,12,0.002537843595083493,0.0024300394681997955,0.00262796103963462,24.97666476224858
-0.875,24,0.0024943008914307197,0.002380422740257619,0.0025792640215144746,23.777675601576796
-0.625,9,0.00243823850859444,0.002322681060868631,0.0025358825068538668,22.628159752716712
-0.375,23,0.0023805619204151345,0.0022526965362522893,0.0024759249477167245,21.502520551370765
-0.125,22,0.002312221556933958,0.0021951292682379697,0.0024167333872083525,20.37534900181998
