file,sta,ph,r_km,n,w_mean,dTdz,dTdr,I_z,I_r,w_sum,I_z_share,I_r_share,cluster
dt.ct,JULA,P,4.319076680845484,23342,1.0,68.89495983034344,250.35428116399362,110793164.56815505,1463012745.2394412,23342.0,0.026866198536445875,0.0560100264507211,1
dt.ct,JULA,S,4.319076680845484,21780,1.0,133.71618039278667,504.14590953972385,389426768.0566539,5535672276.740739,21780.0,0.09443197066169644,0.21192785343235546,1
dt.ct,OKGS,P,6.525914309161462,184,1.0,44.48081527472336,255.82655495917538,364051.8986607476,12042289.624899518,184.0,8.827882681312052e-05,0.00046102739884708066,1
dt.ct,OKGS,S,6.525914309161462,56,1.0,80.58914674795581,515.3207587548403,363698.19211955916,14871107.126605202,56.0,8.819305662868496e-05,0.0005693259380159018,1
dt.ct,WICH,P,2.3548249856944423,24518,1.0,121.5814800390591,229.43643078287224,362426456.0811519,1290653895.7382681,24518.0,0.0878846737692642,0.04941143477680059,1
dt.ct,WICH,S,2.3548249856944423,23877,1.0,242.8025093184183,461.617004268664,1407622178.552342,5087956105.307931,23877.0,0.3413338454650608,0.19478747329146814,1
dt.cc.upsampled,DRSC,P,2.382757092510604,8129,0.7487724443350966,124.76267577571143,227.69482616465163,94745008.26055495,315568250.29804504,6086.7712,0.11476429243014233,0.08028318911461502,2
dt.cc.upsampled,DRSC,S,2.382757092510604,7933,0.6253534098071348,249.34116900328542,458.0640973082728,308425984.06506246,1040915518.899732,4960.9286,0.3735953004611614,0.264817570770308,2
dt.cc.upsampled,EPJZ,P,6.535913067811123,12,0.4840583333333333,46.75142548641098,255.41942997838962,12696.05110639594,378954.274262147,5.8087,1.537868167023073e-05,9.640912112560555e-05,2
dt.cc.upsampled,EPJZ,S,6.535913067811123,1,0.4775,81.25483734075178,514.4138307850144,3152.621452332394,126356.80889214114,0.4775,3.818759182352048e-06,3.214622375548241e-05,2
dt.cc.upsampled,FRST,P,4.587712825396178,5851,0.7499313279781235,67.8618815872012,250.63430447900714,20207071.984903898,275633893.7996073,4387.8482,0.02447675461756157,0.07012355647759749,2
dt.cc.upsampled,FRST,S,4.587712825396178,407,0.443812285012285,131.77748311861137,504.6529788619392,3136722.8369477117,46002285.72908447,180.6316,0.0037995012459315423,0.011703364332135802,2
dt.cc.upsampled,JULA,P,4.086674538904927,7914,0.7392704195097295,76.26265657309838,248.20513286950785,34026966.56075293,360429966.85154146,5850.5860999999995,0.041216743895886275,0.09169638315637606,2
dt.cc.upsampled,JULA,S,4.086674538904927,5009,0.4739972649231384,149.4969001917479,499.68679143834737,53062931.93255398,592819671.7653248,2374.2523,0.06427494122710094,0.15081825809234273,2
dt.cc.upsampled,WICH,P,2.632354113083113,8148,0.7281869906725575,114.84373814625081,232.87155087182597,78254365.90653326,321756113.2889348,5933.267599999999,0.09478923584169138,0.08185743295645821,2
dt.cc.upsampled,WICH,S,2.632354113083113,7923,0.5617668938533384,229.13647272370108,468.5298624579204,233686833.78573993,977058012.7019924,4450.8791,0.28306403283967196,0.24857168975528562,2
dt.ct,DRSC,P,2.382757092510604,8134,1.0,124.76267577571143,227.69482616465163,126611609.31946218,421706692.0347356,8134.0,0.09050765656750644,0.058482809401216834,2
dt.ct,DRSC,S,2.382757092510604,7948,1.0,249.34116900328542,458.0640973082728,494135255.5142834,1667670956.6461146,7948.0,0.3532300414185572,0.23127468580329333,2
dt.ct,EPJZ,P,6.535913067811123,20,1.0,46.75142548641098,255.41942997838962,43713.91570022876,1304781.7042097095,20.0,3.1248667406433995e-05,0.0001809487521986157,2
dt.ct,EPJZ,S,6.535913067811123,5,1.0,81.25483734075178,514.4138307850144,33011.74295636015,1323107.946514567,5.0,2.3598274362426655e-05,0.00018349025831174896,2
dt.ct,FRST,P,4.587712825396178,5854,1.0,67.8618815872012,250.63430447900714,26959045.529338825,367733964.5211293,5854.0,0.01927153479267957,0.050997804311987534,2
dt.ct,FRST,S,4.587712825396178,1091,1.0,131.77748311861137,504.6529788619392,18945547.817269813,277850020.31998366,1091.0,0.013543127242006778,0.03853258695538883,2
dt.ct,JULA,P,4.086674538904927,7921,1.0,76.26265657309838,248.20513286950785,46068478.87047145,487979446.61152154,7921.0,0.032931814757014795,0.06767359756658117,2
dt.ct,JULA,S,4.086674538904927,7194,1.0,149.4969001917479,499.68679143834737,160781030.86297664,1796247483.3360155,7194.0,0.11493349150312938,0.24910583870151806,2
dt.ct,WICH,P,2.632354113083113,8151,1.0,114.84373814625081,232.87155087182597,107504225.2441391,442021876.6836183,8151.0,0.07684884151027652,0.06130014451638563,2
dt.ct,WICH,S,2.632354113083113,7958,1.0,229.13647272370108,468.5298624579204,417823037.0865203,1746942006.3740792,7958.0,0.29867864526706045,0.24226809373311833,2
