,T1,T2
m2,5.424179255688114,4.676664428633102
s2,17.751202496629034,17.83630914690936
n2,8.152341809702026,7.967435785118263
k2,5.155506242947082,5.161721080074089
k1,33.67342887403906,33.59461462254761
o1,28.101752555276644,28.100672405180976
p1,10.843104466084782,10.827412997608542
q1,5.6749211932844945,5.674738951398957
mf,2.755264853403751,2.757872309858402
mm,1.530234269882263,1.530234269882263
