array,station,constituent,period_h,tide_amp_cm,gps_amp,admittance_gain,admittance_phase_deg,r2_total,n
T01,T01A,M2,12.420601,5.4407283980065095,0.016493127948343053,0.30314190935144203,155.6337796354347,0.04041625333924481,29965
T01,T01A,S2,12.0,17.78951068051199,0.01096240559550429,0.06162286187845154,139.10194774202043,0.04041625333924481,29965
T01,T01A,N2,12.658348,8.182128946790511,0.0004897035805340197,0.005985038658259095,-129.29304968096636,0.04041625333924481,29965
T01,T01A,K2,11.967235,5.098526945176233,0.02526804126795639,0.4955949343734025,-136.09585135050622,0.04041625333924481,29965
T01,T01A,K1,23.93447,33.82115121990369,0.006314422430275602,0.018670039908516112,-5.8540396724812,0.04041625333924481,29965
T01,T01A,O1,25.819342,28.267568645175555,0.012685123752993127,0.04487518510071118,-86.79945916916995,0.04041625333924481,29965
T01,T01A,P1,24.06589,10.743604052519553,0.021321645998600376,0.19845897051278708,122.82508979457326,0.04041625333924481,29965
T01,T01A,Q1,26.868357,5.679278012272207,0.010308193805969385,0.1815053565557923,148.0372975284553,0.04041625333924481,29965
T01,T01A,MF,327.859,2.76453124906554,0.0061086637998077455,0.22096562669973727,-79.63276889551537,0.04041625333924481,29965
T01,T01A,MM,661.31,1.5519356346121285,0.004419666241477454,0.28478412009542203,143.1258881975153,0.04041625333924481,29965
T01,T01B,M2,12.420601,5.436946901000582,0.00894947424769183,0.16460477563326623,81.53036889386424,0.03487682095383293,28809
T01,T01B,S2,12.0,17.783837808384984,0.0040509860557647066,0.022779031722020594,123.02845193049316,0.03487682095383293,28809
T01,T01B,N2,12.658348,8.180021313031089,0.009682150291175725,0.11836338709474617,-169.3629880971378,0.03487682095383293,28809
T01,T01B,K2,11.967235,5.096241509185644,0.01404660469422885,0.2756267470627277,-126.45640293286758,0.03487682095383293,28809
T01,T01B,K1,23.93447,33.8136585553941,0.007298384185952171,0.02158413048974229,125.86664259026763,0.03487682095383293,28809
T01,T01B,O1,25.819342,28.257440950322504,0.012540550907565076,0.044379641205344,145.74315891448987,0.03487682095383293,28809
T01,T01B,P1,24.06589,10.742773549874423,0.008976437918323591,0.08355791804276207,155.4520073165475,0.03487682095383293,28809
T01,T01B,Q1,26.868357,5.67605551464234,0.00658873741732142,0.11607950979909666,-100.83874517914434,0.03487682095383293,28809
T01,T01B,MF,327.859,2.7568404206675767,0.004975245894557898,0.1804691289803828,-40.83659697634691,0.03487682095383293,28809
T01,T01B,MM,661.31,1.5488399530262404,0.0021187057709217334,0.1367930732147015,131.88518935131776,0.03487682095383293,28809
T01,T01C,M2,12.420601,5.437542705663885,0.03482449499680698,0.6404454526956247,164.3802261117931,0.031857350317613276,28765
T01,T01C,S2,12.0,17.784269947098043,0.023810690308577204,0.13388623980295872,22.45008206634043,0.031857350317613276,28765
T01,T01C,N2,12.658348,8.180264682550446,0.012561827620903422,0.1535626059594308,-149.86592676731001,0.031857350317613276,28765
T01,T01C,K2,11.967235,5.097170171556015,0.02072247216088383,0.40654856446666116,-145.91279830647207,0.031857350317613276,28765
T01,T01C,K1,23.93447,33.81152923793748,0.03724124758567093,0.11014363569183146,160.13931728601182,0.031857350317613276,28765
T01,T01C,O1,25.819342,28.25776930379093,0.016565439973509306,0.05862260320487139,168.6297306757332,0.031857350317613276,28765
T01,T01C,P1,24.06589,10.749978223800435,0.028572763404550124,0.26579368636570877,155.27709624689868,0.031857350317613276,28765
T01,T01C,Q1,26.868357,5.677355543111838,0.017514318442389442,0.30849430354311747,-146.65374348687345,0.031857350317613276,28765
T01,T01C,MF,327.859,2.7572885734537587,0.004984174049418307,0.18076359860930946,-56.45800140064747,0.031857350317613276,28765
T01,T01C,MM,661.31,1.5513356731874701,0.009756010639588626,0.628878121492773,136.01941473201342,0.031857350317613276,28765
T01,T01D,M2,12.420601,5.43956496818743,0.00770672394281819,0.14167904948079374,108.6702894975058,0.054823443708594044,28148
T01,T01D,S2,12.0,17.784866315196222,0.016940544194328,0.0952525810095812,-107.20518095576614,0.054823443708594044,28148
T01,T01D,N2,12.658348,8.178343518806495,0.008440062340952622,0.10320014464474735,-115.29522429274006,0.054823443708594044,28148
T01,T01D,K2,11.967235,5.098867308714564,0.003438660424526709,0.06743969231459766,-144.48494064784128,0.054823443708594044,28148
T01,T01D,K1,23.93447,33.813543528737036,0.008489527447290793,0.025106884879059835,115.35192347964644,0.054823443708594044,28148
T01,T01D,O1,25.819342,28.266922915328575,0.023158756022800476,0.0819288186838404,172.42018664347898,0.054823443708594044,28148
T01,T01D,P1,24.06589,10.742720077188725,0.027593000215397845,0.2568530131767027,111.53264866803039,0.054823443708594044,28148
T01,T01D,Q1,26.868357,5.675197101497315,0.017257987573597162,0.3040949462185886,24.158417924811488,0.054823443708594044,28148
T01,T01D,MF,327.859,2.7634661508875973,0.014462835963359094,0.5233585350308625,24.788140666052502,0.054823443708594044,28148
T01,T01D,MM,661.31,1.5484340559558303,0.00933853549386851,0.6030954600842812,-101.60432150641333,0.054823443708594044,28148
T02,T02A,M2,12.420601,4.329027484360464,0.007280785278625204,0.1681852403323517,123.19232014342887,0.12052613887731234,26576
T02,T02A,S2,12.0,17.90949497909952,0.004694661668510417,0.026213255449073877,-132.25654265730006,0.12052613887731234,26576
T02,T02A,N2,12.658348,7.899390243990126,0.0048925183354588345,0.06193539228146215,20.069510882819475,0.12052613887731234,26576
T02,T02A,K2,11.967235,5.1041679528967006,0.0074033129890045575,0.1450444628257786,-98.4970641173799,0.12052613887731234,26576
T02,T02A,K1,23.93447,33.71207642461309,0.019160912019716085,0.056836938129763946,145.587643678002,0.12052613887731234,26576
T02,T02A,O1,25.819342,28.26769066688093,0.012098524615032923,0.04279983376642731,116.63576823227937,0.12052613887731234,26576
