across_km,n_events,strain_median,strain_q25,strain_q75,speed_median
-7.875,1,0.0006854248406023623,0.0005678271673284933,0.0008055824481607893,48.571083639423826
-7.625,2,0.0007172737157004328,0.0005928057497103881,0.0008420003224149629,48.33315952581612
-7.375,0,0.000751285361367966,0.0006207519746049952,0.0008798401291711124,48.03137265780375
-7.125,1,0.0007888647451525571,0.0006523710974101016,0.0009215760939060913,47.74092947260615
-6.875,4,0.0008300425771549843,0.0006885040208334006,0.0009672234173179248,47.412316893502144
-6.625,3,0.00087414053284946,0.0007275975038708955,0.001012876035774359,47.04442619597488
-6.375,1,0.0009214289861442033,0.0007731134487121201,0.001067172194435805,46.64391046821432
-6.125,1,0.000971549744536987,0.0008234000377722243,0.0011204334511154223,46.2437948247785
-5.875,1,0.001024569476311758,0.0008788801554158478,0.0011796924954928076,45.7957826112734
-5.625,1,0.0010815871681048995,0.0009395612309355409,0.0012420551087616713,45.32200232641284
-5.375,2,0.0011419618543940392,0.00100306475267972,0.0013018657537152457,44.794018791718834
-5.125,2,0.0012044748136891149,0.0010719964604269437,0.0013720260024526602,44.2441230261196
-4.875,3,0.0012708082846913126,0.0011435278411303378,0.0014361084140132366,43.668637859488896
-4.625,2,0.0013366770602644296,0.0012191157901143008,0.0015053700269653473,43.04242827767936
-4.375,205,0.0014055653878726662,0.001297713629636671,0.0015766373748228829,42.38924183699947
-4.125,272,0.0014740113966713957,0.001378081584073557,0.0016491472160076557,41.708381961567255
-3.875,27,0.0015500992319510392,0.001464264586506166,0.0017213768586463664,40.955171979650196
-3.625,1,0.0016200371599638783,0.0015453821723268517,0.0017880176217274647,40.19683422567151
-3.375,19,0.001695715955149553,0.0016279856202176454,0.001859994281426301,39.3710639773463
-3.125,1,0.0017638398418247845,0.0017085513343329851,0.001925686409272655,38.50427104747428
-2.875,66,0.0018296632718235136,0.0017874073291080565,0.0019904879629291873,37.5945627610903
-2.625,2,0.0018997402422572672,0.0018622367996711793,0.0020513445276502725,36.65040790507562
-2.375,0,0.0019660424147397325,0.0019327206158035457,0.0021069750284353358,35.66577659122472
-2.125,0,0.002029550969577771,0.0019986822605615557,0.002158300384197975,34.66256484075137
-1.875,0,0.0020874102406151602,0.002057435107584284,0.0022024071877765413,33.617910788835886
-1.625,0,0.0021363629150509067,0.00210839628954393,0.002241053821529409,32.548735252969855
-1.375,3,0.002182290229671098,0.0021525223838221074,0.002273824753334561,31.469072227743265
-1.125,0,0.0022194653197505714,0.002188259622359249,0.002297240483593807,30.356173444210715
-0.875,4,0.0022515330166449805,0.002214501004282045,0.0023168926111559254,29.23426375511537
-0.625,4,0.0022716755803315284,0.0022339091830681805,0.0023242147171518733,28.111493765913814
-0.375,45,0.002283496905003285,0.0022455074924779285,0.0023277494368861705,26.971035659748605
-0.125,193,0.002287136170226824,0.0022476229576475016,0.0023233592675325813,25.849772323950027
0.125,22,0.002279795659557989,0.0022409983333827508,0.002314437917588413,24.71694273612694
