config,heldout_medabs_ms,heldout_rms_trim_ms,heldout_rms_ms,heldout_corr,heldout_recovery_pct,stability_dh_med_m,stability_dz_med_m,stability_dz_p90_m,cluster1_depth_shift_m,moved_dh_med_m,moved_dz_med_m,cc_kept_pct,n_relocated,ct_pct,cc_pct,rmsct_ms,rmscc_ms,rmsst_ms,dx_m,dy_m,dz_m,cnd
damp_high__seed7,1.7633234999999998,9.74208886124215,44.132711322411325,0.5269846310189813,97.0019881759306,47.08506014753973,10.999999999999899,84.99999999999997,48.00000000000004,141.8055420317599,170.99999999999983,,3321.0,44.0,46.0,1.0,7.0,12.0,1.0,1.0,1.0,1540.0
damp_high,1.805515,10.822951439547314,42.50058196451699,0.7592334924510934,97.04830112599406,33.73515790514187,10.999999999999899,82.09999999999997,45.49999999999987,141.8055420317599,170.99999999999983,,3321.0,44.0,46.0,1.0,7.0,12.0,1.0,1.0,1.0,1540.0
damp_low__seed7,1.8277425,10.40743284209843,47.139609465875864,0.4523529484628379,95.63191842573211,24.73131910947555,22.00000000000024,172.2000000000003,62.00000000000028,344.29521470551657,362.9999999999998,,3285.0,37.0,45.0,0.0,7.0,11.0,2.0,0.0,0.0,13695.0
wrct_all,1.854198,11.348296311902889,38.317791728921975,0.5160355340762207,99.55856289161072,109.99810109623587,76.99999999999996,2619.0,2433.0000000000005,370.62440572126224,229.00000000000009,,3317.0,6.0,58.0,0.0,1.0,7.0,3.0,2.0,4.0,8632.0
cc_stronger,1.88448,11.408453549716606,38.348057751846504,0.5148035067276435,99.69428833090653,40.72609737897133,28.000000000000025,2765.0,2616.9999999999995,260.26426096521493,207.50000000000003,,2914.0,38.0,32.0,7.0,7.0,10.0,32.0,27.0,11.0,5529.0
iter_long,1.890546,11.49101527808191,38.51302252156767,0.512187412714529,99.73447887361063,248.20810162934725,92.99999999999997,2801.0,2588.9999999999995,471.88705524011516,238.9999999999999,,3331.0,29.0,50.0,1.0,6.0,10.0,2.0,2.0,1.0,7715.0
iter_short,1.961305,11.295729391579785,38.07545825607933,0.5202080382014661,99.3411386441951,95.32137371952118,59.5,2464.0,2244.4999999999995,435.96787792216344,249.0000000000001,,3335.0,70.0,42.0,7.0,9.0,17.0,39.0,12.0,11.0,6984.0
damp_flat40,1.970299,11.344601732210782,38.12244543881269,0.5193570077412856,99.12766756491432,125.91366005066848,42.000000000000036,2492.0,2241.0,406.61939295515003,236.9999999999999,,3331.0,51.0,45.0,2.0,7.0,11.0,1.0,1.0,2.0,765.0
damp_gentle,1.977087,11.412710983877684,38.164834114259826,0.5188406051942055,99.32071394216516,98.87644971745102,47.000000000000156,2553.0,2303.0,416.3600554605002,240.0,,3325.0,48.0,45.0,2.0,7.0,11.0,4.0,1.0,2.0,4105.0
wrcc_loose,1.9826864999999998,11.552281401625025,38.50106465928238,0.512696526502491,99.70680669666682,669.2452186606338,200.4999999999998,2650.0,2408.499999999999,599.3759255703815,266.49999999999994,,3158.0,62.0,79.0,5.0,13.0,19.0,33.0,15.0,6.0,5193.0
wrcc_tight,1.996588,11.477807682834518,38.34569453328668,0.5155114446471201,99.57964645499648,87.18388028067567,59.99999999999994,2663.9999999999995,2397.5000000000005,378.879122525775,243.0000000000001,,3325.0,35.0,20.0,1.0,4.0,7.0,0.0,2.0,1.0,5367.0
base__seed7,2.01796,10.197344089684412,44.560510583660346,0.5164022728463473,97.18374551348089,432.7642114383553,75.49999999999996,2640.7000000000003,2388.0000000000005,430.800399223486,243.0000000000001,,3329.0,48.0,44.0,2.0,7.0,11.0,11.0,7.0,4.0,7894.0
clean_flat40,,,,,,,,,,154.8426884687817,173.00000000000006,77.91,3298.0,44.0,49.0,1.0,7.0,13.0,0.0,0.0,1.0,818.0
damp_flat35,,,,,,,,,,,,,,,,,,,,,,
damp_flat55,,,,,,28.186520210139456,15.999999999999792,96.40000000000013,72.00000000000006,233.55290177093872,173.99999999999994,,3350.0,44.0,48.0,1.0,7.0,12.0,0.0,0.0,1.0,599.0
dtmax_0.2,,,,,,,,,,,,99.91,,,,,,,,,,
minobs_strict,,,,,,,,,,,,100.0,,,,,,,,,,
